id,name,avatar,author,source,status,total_chapter,description,created_at,created_at,folder_chapter
1,Linh Vũ Thiên Hạ,upload/images/stories/image16352487230.jpg,Vũ Phong,Vip Văn Đàn,,5024,"<p><strong><em>Nh&oacute;m dịch:</em></strong><em>&nbsp;S&oacute;i Gi&agrave;<br />
<strong>Đả tự:</strong>&nbsp;Bựa Thập Ngũ BLH</em><br />
<br />
<strong>Lục Thiếu Du</strong>, linh hồn bị xuy&ecirc;n qua đến thế giới kh&aacute;c, nhập v&agrave;o th&acirc;n thể của một thiếu gia kh&ocirc;ng c&oacute; địa vị phải trải qua cuộc sống kh&ocirc;ng kh&aacute;c g&igrave; n&ocirc; bộc.<br />
Thế giới n&agrave;y lấy Vũ vi cường, lấy Linh vi t&ocirc;n, nghe đồn khi v&otilde; đạo đỉnh phong, linh đạo đạt đến cực hạn c&oacute; thể ph&aacute; to&aacute;i hư kh&ocirc;ng.<br />
Lục Thiếu Du mang theo k&yacute; ức từ kiếp trước t&aacute;i sinh, kh&ocirc;ng cam l&ograve;ng l&agrave;m một thiếu gia chẳng kh&aacute;c g&igrave; củi mục.<br />
<br />
Trong thế giới xa lạ,<br />
Say - nằm tr&ecirc;n gối mỹ nh&acirc;n,<br />
Tỉnh - nắm quyền thi&ecirc;n hạ.<br />
Đ&acirc;y mới l&agrave; cuộc sống đ&aacute;ng mơ ước.<br />
Linh - Vũ song tu<br />
B&aacute; chủ ki&ecirc;u h&ugrave;ng<br />
Đ&atilde; đến, ta sẽ lưu lại một huyền thoại......</p>",2021-10-26T11:45:23.000000Z,2021-11-21T09:50:09.000000Z,/stories/chapters/
2,Đấu Phá Thương Khung,upload/images/stories/image16352499590.jpg,Thiên Tàm Thổ Đậu,,,1641,"<p>Giới Thiệu Truyện<br />
<br />
-&nbsp;<strong>Đấu Ph&aacute; Thương Khung</strong>&nbsp;l&agrave; một c&acirc;u chuyện huyền huyễn đặc sắc kể về Ti&ecirc;u Vi&ecirc;m, một thi&ecirc;n chi ki&ecirc;u tử với thi&ecirc;n ph&uacute; tu luyện m&agrave; ai ai cũng h&acirc;m mộ, bỗng một ng&agrave;y người mẹ mất đi đễ lại di vật l&agrave; một chiếc giới chỉ m&agrave;u đen nhưng từ khi đ&oacute; Ti&ecirc;u Vi&ecirc;m đ&atilde; mất đi thi&ecirc;n ph&uacute; tu luyện của m&igrave;nh.<br />
<br />
- Từ thi&ecirc;n t&agrave;i rớt xuống l&agrave;m phế vật trong 3 năm, rồi bị vị h&ocirc;n th&ecirc; thẳng thừng từ h&ocirc;n, l&agrave;m dấy l&ecirc;n &yacute; ch&iacute; nam nhi của m&igrave;nh, Ti&ecirc;u Vi&ecirc;m nhờ di vật của mẫu th&acirc;n để lại l&agrave; 1 chiếc hắc giới chỉ (nhẫn m&agrave;u đen)Ti&ecirc;u Vi&ecirc;m gặp được hồn của Dược L&atilde;o (Dược Trần &ndash; Dược t&ocirc;n giả) 1 đại luyện dược t&ocirc;ng sư của đấu kh&iacute; đại lục&hellip;<br />
<br />
- Từ đ&oacute; cuộc đời của Ti&ecirc;u Vi&ecirc;m c&oacute; những biến h&oacute;a g&igrave;? Gặp được c&aacute;c đại ngộ g&igrave;? Th&acirc;n phận thật sự của Hu&acirc;n Nhi (thanh mai tr&uacute;c m&atilde; l&uacute;c nhỏ của Ti&ecirc;u Vi&ecirc;m) ra sao? B&iacute; mật của gia tộc hắn l&agrave; g&igrave;? C&ugrave;ng theo d&otilde;i bộ truyện Đấu Ph&aacute; Thương Khung để c&oacute; thể giải đ&aacute;p c&aacute;c thắc mắc n&agrave;y c&aacute;c bạn nh&eacute;!<br />
<br />
- Tags:&nbsp;<strong>dau pha thuong khung full prc</strong>, truyen huyen huyen</p>",2021-10-26T12:05:59.000000Z,2021-11-21T09:49:32.000000Z,/stories/chapters/
3,Vũ Động Càn Khôn,upload/images/stories/image16352550920.jpg,Thiên Tàm Thổ Đậu,,,1,"<p>Giới Thiệu Truyện<br />
<br />
<strong>Vũ Động C&agrave;n Kh&ocirc;n - Từ xưa đến nay, con người lu&ocirc;n c&oacute; kh&aacute;t vọng vươn l&ecirc;n đỉnh cao, để đổi lấy sự th&agrave;nh c&ocirc;ng họ đ&atilde; hy sinh biết bao nhi&ecirc;u mồ h&ocirc;i v&agrave; nước mắt. Tu Luyện ch&iacute;nh l&agrave; trộm đi &acirc;m dương, đoạt lấy tạo h&oacute;a, chuyển đổi Niết B&agrave;n, nắm giữ sinh tử, chưởng quản Lu&acirc;n Hồi.</strong><br />
<br />
- C&oacute; người theo đuổi quyền lực v&agrave; sức mạnh, c&oacute; người th&igrave; truy cầu t&igrave;nh y&ecirc;u, nhưng sống trong thời loạn kh&ocirc;ng thể kh&ocirc;ng c&oacute; thực lực trong tay, muốn c&oacute; chỗ đứng hay bảo vệ những người thương y&ecirc;u đều cần phải c&oacute; thực lực, đ&oacute; l&agrave; ch&acirc;n l&yacute; kh&ocirc;ng bao giờ thay đổi tự cổ ch&iacute; kim.<br />
<br />
- C&acirc;u chuyện l&agrave; một trang s&aacute;ch n&oacute;i về cuộc đời của một tu luyện giả, b&ecirc;n cạnh đ&oacute; c&ograve;n mi&ecirc;u tả cuộc sống đời thường, những suy nghĩ b&igrave;nh thường, nhưng nếu như số mệnh đ&atilde; sắp đặt bản th&acirc;n phải đi tr&ecirc;n một con đường đầy gian khổ v&agrave; trắc trở th&igrave; sao? Con người đặc biệt lu&ocirc;n c&oacute; số mệnh đặc biệt, bất kể xuất th&acirc;n, bất kể địa vị. Ch&uacute;ng ta h&atilde;y c&ugrave;ng d&otilde;i theo những bước ch&acirc;n của họ, kh&ocirc;ng chỉ đơn giản l&agrave; xem những pha đ&aacute;nh nhau đẹp mắt, hay những chi&ecirc;u thức tr&aacute;ng lệ, cũng kh&ocirc;ng phải chỉ để b&agrave;n luận đến những &acirc;m mưu hay kế s&aacute;ch th&acirc;m độc, h&egrave;n hạ bỉ ổi, tuyệt vời ra sao. Thứ ch&uacute;ng ta cần l&agrave; một c&aacute;i g&igrave; đ&oacute; lớn hơn thế, tất cả mọi thứ h&ograve;a quyện lại với nhau tạo ra một sự li&ecirc;n kết tuyệt vời, v&agrave; sự li&ecirc;n kết đ&oacute; ch&iacute;nh l&agrave; V&otilde; Động C&agrave;n Kh&ocirc;n. C&ograve;n chờ g&igrave; nữa, c&aacute;c bạn h&atilde;y nhanh đọc lướt qua phần giới thiệu để c&ugrave;ng đắm m&igrave;nh trong thế giới của&nbsp;<strong>Vũ Động C&agrave;n Kh&ocirc;n</strong>, thưởng thức c&aacute;i hay v&agrave; hấp dẫn kh&ocirc;ng thể cưỡng lại của t&aacute;c phẩm.<br />
<br />
- C&acirc;u chuyện kể về một thiếu ni&ecirc;n L&acirc;m Động, vốn l&agrave; thiếu ni&ecirc;n b&igrave;nh thường, cha của hắn l&agrave; một cao thủ nhưng bị người kh&aacute;c đ&aacute;nh trọng thương kh&oacute; c&oacute; thể phục hồi, từ đ&oacute; địa vị trong gia đ&igrave;nh ng&agrave;y c&agrave;ng giảm s&uacute;t. D&ugrave; bị khinh thị v&agrave; chế giễu nhưng L&acirc;m Động với sự quyết t&acirc;m kh&ocirc;ng ngừng nghỉ, r&egrave;n luyện đi&ecirc;n cuồng chờ ng&agrave;y b&aacute;o th&ugrave;.<br />
<br />
- &Ocirc;ng trời c&oacute; mắt kh&ocirc;ng phụ người c&oacute; l&ograve;ng, L&acirc;m Động may mắn gặp được kỳ ngộ, nhặt được một vi&ecirc;n đ&aacute; kỳ lạ, m&agrave; c&ocirc;ng dụng của n&oacute; nếu lọt ra ngo&agrave;i th&igrave; chắc chắn sẽ khiến thế gian đi&ecirc;n cuồng, rốt cuộc vi&ecirc;n đ&aacute; đ&oacute; c&oacute; t&aacute;c dụng g&igrave;? V&agrave; xuất xứ từ đ&acirc;u?<br />
<br />
- Từng bước đi tr&ecirc;n con đường cường giả, đối mặt với những địch thủ đỉnh cấp, liệu L&acirc;m Động sẽ th&agrave;nh c&ocirc;ng hay thất bại? Sẽ trở th&agrave;nh một cường giả đứng tr&ecirc;n vạn người, được họ k&iacute;nh ngưỡng hay cũng giống như cha m&igrave;nh kh&ocirc;ng thể ng&oacute;c đầu l&ecirc;n nổi... Mời c&aacute;c bạn c&ugrave;ng theo d&otilde;i!<br />
<br />
- Tags:&nbsp;<strong>vu dong can khon</strong>, truyen huyen huyen</p>",2021-10-26T13:31:32.000000Z,2021-11-21T09:08:37.000000Z,/stories/chapters/
4,Thế Giới Hoàn Mỹ,upload/images/stories/image16353402700.jpg,Thần Đông,Tàng Thư Viện,,0,"<p><strong><em>Dịch giả:</em></strong><em>&nbsp;Ronkute, Yencute, Ryuken, kukhoai, bokinhvan, Kensin_Kaoru, Big Bang, Luciferht, Độc Nh&acirc;n</em><br />
<br />
Một hạt bụi c&oacute; thể lấp biển, một cọng cỏ ch&eacute;m hết mặt trời mặt trăng v&agrave; ng&ocirc;i sao, trong nh&aacute;y mắt ở giữa long trời lỡ đất. Quần h&ugrave;ng c&ugrave;ng nổi l&ecirc;n, vạn tộc mọc l&ecirc;n san s&aacute;t như rừng, chư th&aacute;nh tranh b&aacute;, loạn khắp đất trời. Hỏi mặt đất bao la, cuộc đời thăng trầm? Một thiếu ni&ecirc;n theo trong đất hoang đi ra, tất cả bắt đầu từ nơi n&agrave;y...</p>",2021-10-27T13:11:10.000000Z,2021-10-27T13:11:10.000000Z,/stories/chapters/
5,Nhất Niệm Vĩnh Hằng,upload/images/stories/image16353403650.jpg,Nhĩ Căn,Bạch Ngọc Sách,,0,"<p><strong>一念永恒</strong><br />
<br />
Nhất niệm th&agrave;nh biển cả, nhất niệm h&oacute;a nương d&acirc;u.<br />
Nhất niệm trảm ngh&igrave;n Ma, nhất niệm giết vạn Ti&ecirc;n.<br />
<br />
Chỉ c&oacute; niệm của ta... l&agrave; Vĩnh hằng.</p>",2021-10-27T13:12:45.000000Z,2021-10-27T13:12:45.000000Z,/stories/chapters/
6,Ngạo Thế Đan Thần,upload/images/stories/image16353404290.jpg,Tịch Tiểu Tặc,Sưu tầm,,0,"<p>Thể loại truyện ti&ecirc;n hiệp đ&atilde; v&agrave; đang nhận được kh&ocirc;ng &iacute;t sự quan t&acirc;m của c&aacute;c bạn độc giả, truyện với những t&igrave;nh tiết v&agrave; nh&acirc;n vật đem lại kh&ocirc;ng &iacute;t sự t&ograve; m&ograve;, lối kể chuyện lạ, t&igrave;nh tiết kh&ocirc;ng qu&aacute; đặc sắc nhưng khi dựng th&agrave;nh một c&acirc;u chuyện th&igrave; thực sống động v&agrave; cuốn h&uacute;t. Truyện Ngạo Thế Đan Thần l&agrave; một trong những truyện nổi bật ở thể loại n&agrave;y được t&aacute;c giả Tịch Tiểu Tặc chắp b&uacute;t.<br />
<br />
Năm nay Trầm Tường mười s&aacute;u tuổi, th&acirc;n h&igrave;nh so với bạn c&ugrave;ng lứa tuổi th&igrave; cường tr&aacute;ng cao lớn hơn, th&acirc;n thể n&agrave;y c&ugrave;ng gương mặt tuấn t&uacute; mang theo t&iacute;nh trẻ con, nh&igrave;n rất l&agrave; tr&aacute;i ngược, nhưng cặp mắt kia của hắn lại th&acirc;m th&uacute;y kh&ocirc;ng tương xứng c&ugrave;ng tuổi t&aacute;c, xem ra nh&agrave;n đến muốn th&agrave;nh thục hơn so với bạn c&ugrave;ng lứa tuổi một &iacute;t.<br />
<br />
L&uacute;c n&agrave;y Trầm Tường muốn đi h&aacute;i thuốc, mặc d&ugrave; hắn l&agrave; trưởng t&ocirc;n tử của Trầm gia tộc, nhưng bởi v&igrave; hắn kh&ocirc;ng c&oacute; linh mạch, kh&ocirc;ng thể trở th&agrave;nh một v&otilde; giả lợi hại, bởi vậy, từ nhỏ hắn đ&atilde; rất chăm chỉ r&egrave;n luyện th&acirc;n thể của m&igrave;nh, thường thường ra ngo&agrave;i tiến h&agrave;nh c&aacute;c loại huấn luyện b&iacute; mật, thậm ch&iacute; c&ograve;n tiến h&agrave;nh tranh đấu với Hổ th&uacute;, tuy hắn tuổi c&ograve;n trẻ, nhưng cũng từng c&oacute; mấy lần trải qua sinh tử, t&acirc;m t&igrave;nh c&ugrave;ng &yacute; ch&iacute; đều hơn xa bạn c&ugrave;ng lứa tuổi.<br />
<br />
Thiếu ni&ecirc;n Trầm Tường diễm ngộ Thần nữ c&ugrave;ng Ma nữ, đạt được v&ocirc; thượng truyền thừa của c&aacute;c n&agrave;ng, thu được &Acirc;m Dương Thần Mạch, học được tuyệt thế thần c&ocirc;ng, nắm giữ đan thuật si&ecirc;u tuyệt, n&agrave;y khiến cho hắn ở v&otilde; đạo chi lộ xu&acirc;n phong đắc &yacute;... l&uacute;c đ&oacute;i bụng luyện đan dược l&agrave;m đồ ăn vặt, thời điểm tịch mịch đ&ugrave;a giỡn Thần nữ cao cao tại thượng, l&uacute;c tẻ nhạt chơi đ&ugrave;a với những cao nh&acirc;n đến van cầu đan dược, l&uacute;c mệt mỏi để kiều th&ecirc; b&ecirc;n người xoa xoa b&oacute;p b&oacute;p...<br />
<br />
Ph&acirc;n chia đằng cấp: Ph&agrave;m V&otilde; Cảnh mười tầng, Ch&acirc;n V&otilde; Cảnh thập đoạn, Tam đại cảnh giới cực hạn, Niết B&agrave;n Cảnh cửu kiếp....<br />
<br />
Luyện Đan Sư ph&acirc;n chia thập đoạn....</p>",2021-10-27T13:13:49.000000Z,2021-10-27T13:13:49.000000Z,/stories/chapters/
7,Phàm Nhân Tu Tiên,upload/images/stories/image16353404760.jpg,Vong Ngữ,,,0,"<p>Ph&agrave;m Nh&acirc;n Tu Ti&ecirc;n l&agrave; một c&acirc;u chuyện&nbsp;<em>Ti&ecirc;n Hiệp</em>&nbsp;kể về H&agrave;n Lập - Một người b&igrave;nh thường nhưng lại gặp v&ocirc; v&agrave;n cơ duy&ecirc;n để bước đi tr&ecirc;n con đường tu ti&ecirc;n, kh&ocirc;ng phải anh h&ugrave;ng - cũng chẳng phải tiểu nh&acirc;n, H&agrave;n Lập từng bước khẳng định m&igrave;nh... Liệu H&agrave;n Lập v&agrave; người y&ecirc;u c&oacute; thể c&ugrave;ng bước tr&ecirc;n con đường tu ti&ecirc;n v&agrave; c&oacute; một c&aacute;i kết ho&agrave;n mỹ? Những thử th&aacute;ch n&agrave;o đang chờ đợi bọn họ?<br />
<br />
- Truyện kết cấu kh&aacute; hợp l&yacute;, t&igrave;nh tiết kh&ocirc;ng qu&aacute; chậm, kh&ocirc;ng qu&aacute; nhanh, diễn tả kh&aacute; đặc biệt, lời văn tr&ocirc;i chảy, nh&acirc;n vật t&iacute;nh c&aacute;ch đặc th&ugrave;. Nh&acirc;n vật ch&iacute;nh, H&agrave;n Lập, mang hơi hướng kh&aacute; c&ocirc; độc. Bạn n&agrave;o th&iacute;ch đọc Tru Ti&ecirc;n hoặc Thương Thi&ecirc;n chắc sẽ th&iacute;ch&nbsp;<em>Ph&agrave;m Nh&acirc;n Tu Ti&ecirc;n Truyện</em>. Mời bạn đọc c&ugrave;ng thưởng thức v&agrave; d&otilde;i theo bước ch&acirc;n của H&agrave;n Lập!<br />
<br />
- Tags: pham nhan tu tien prc full, truyen tien hiep</p>",2021-10-27T13:14:36.000000Z,2021-10-27T13:14:36.000000Z,/stories/chapters/
8,YÊU NHẦM CHỊ HAI ĐƯỢC NHẦM EM GÁI,upload/images/stories/image16361938270.jpg,Trí Nam,Vozforums,,0,"<p><strong>Thể loại:&nbsp;</strong>Truyện teen<br />
<br />
Nếu c&aacute;c bạn thắc mắc v&igrave; sao truyện lại l&agrave; y&ecirc;u nhầm chị n&ecirc;n được nhầm em g&aacute;i m&agrave; kh&ocirc;ng phải l&agrave; t&aacute;n c&ocirc; chị nhưng được c&ocirc; em?<br />
<br />
Vậy h&atilde;y đ&oacute;n đọc truyện n&agrave;y nh&eacute;. C&aacute;c bạn sẽ t&igrave;m thấy đ&aacute;p &aacute;n m&igrave;nh cần t&igrave;m ở đ&acirc;y nh&eacute;.</p>",2021-11-06T10:17:07.000000Z,2021-11-06T10:17:07.000000Z,/stories/chapters/
9,Ngày Hôm Qua... Đã Từng (My life),upload/images/stories/image16361946410.jpg,Nguyễn Mon,Vozforums.com,,0,"<p>Truyện Ng&agrave;y H&ocirc;m Qua... Đ&atilde; Từng của t&aacute;c giả Nguyễn Mon l&agrave; c&acirc;u chuyện ng&ocirc;n t&igrave;nh hiện đại về một chuyện t&igrave;nh đ&atilde; đi v&agrave;o dĩ v&atilde;ng.<br />
<br />
Trong cuộc đời mỗi ch&uacute;ng ta điều gặp rất nhiều người, ai sẽ cho ở lại b&ecirc;n cạnh ch&uacute;ng ta suốt đời, c&oacute; bao giờ bạn hối hận ở những chuyện trong qu&aacute; khứ, những c&aacute;i ch&uacute;ng ta đ&atilde; đi qua v&agrave; thất hối tiếc.<br />
<br />
H&atilde;y&nbsp;c&ugrave;ng ch&uacute;ng t&ocirc;i cảm nhận lại một lần nữa qu&aacute; khứ của bạn.</p>",2021-11-06T10:30:41.000000Z,2021-11-06T10:30:41.000000Z,/stories/chapters/
10,Đấu La Đại Lục,upload/images/stories/image16361978230.jpg,Đường Gia Tam Thiếu,,,0,"<p><strong>Giới Thiệu Truyện</strong>rn<br />
<br />
rn<strong>Một&nbsp;<em>đại lục</em>&nbsp;kh&ocirc;ng hề y&ecirc;n b&igrave;nh, một cuộc sống đầy hiểm nguy, phi&ecirc;u lưu nhưng cũng kh&ocirc;ng k&eacute;m phần l&atilde;ng mạn. t&igrave;nh y&ecirc;u, th&ugrave; hận, tr&aacute;ch nhiệm&hellip; Tiếp bước những tiền bối đi trước, Hoắc Vũ Hạo v&agrave; đời sau sử lai khắc thất qu&aacute;i, bằng niềm tin nhiệt huyết tuổi trẻ đ&atilde; g&acirc;y dựng lại&nbsp;<strong>đường m&ocirc;n</strong>&nbsp;t&aacute;i lập những huy ho&agrave;ng xưa kia của c&aacute;c tiền bối đi trước&hellip;</strong>rn<br />
<br />
rn - Kiếp trước l&agrave; thi&ecirc;n t&agrave;i sau khi chế tạo &aacute;m kh&iacute; cao nhất của đường m&ocirc;n: Phật Nộ Li&ecirc;n Hoa. Xuy&ecirc;n việt mang theo v&otilde; c&ocirc;ng c&ugrave;ng với &aacute;m kh&iacute; Đường M&ocirc;n đến thế giới kh&ocirc;ng c&oacute; v&otilde; c&ocirc;ng c&ugrave;ng &aacute;m kh&iacute; si&ecirc;u đẳng như thế, chuyện g&igrave; sẽ xảy ra tiếp theo? H&atilde;y c&ugrave;ng nhau theo d&otilde;i Đấu La Đại Lục để biết r&otilde; bạn nh&eacute;.rn<br />
<br />
rn - Tags:&nbsp;<a href=""https://truyenfull.vn/dau-la-dai-luc/"" rel=""nofollow"" target=""_blank""><strong>dau la dai luc</strong></a>,&nbsp;<strong>truyen huyen ao</strong>,&nbsp;<em>dau la dai luc prc full</em>rn</p>",2021-11-06T11:23:43.000000Z,2021-11-06T11:23:43.000000Z,/stories/chapters/
